Length 5, number of unique variants is 34.
crclc	[clcrc,crclc,crclc,clcrc]
ccttc	[cttcc,ccttc,cttcc,ccttc]
ctcrr	[ctcll,ctcrr,ctcrr,ctcll]
ctrrc	[ctllc,ctllc,ctrrc,ctrrc]
crctr	[clctl,clctr,crctr,crctl]
cttrc	[cttlc,cttlc,cttrc,cttrc]
crctt	[clctt,clctt,crctt,crctt]
ctcrc	[ctclc,clctc,ctcrc,crctc]
ctrcr	[ctlcl,ctlcr,ctrcr,ctrcl]
ccttt	[ccttt,ccttt,ccttt,ccttt]
cttcr	[cttcl,cttcr,cttcr,cttcl]
ctrct	[ctlct,ctlct,ctrct,ctrct]
ccttr	[ccttl,ccttr,ccttr,ccttl]
cttct	[cttct,cttct,cttct,cttct]
crcrc	[clclc,clclc,crcrc,crcrc]
cctrc	[ctlcc,cctlc,ctrcc,cctrc]
ctctr	[ctctl,ctctr,ctctr,ctctl]
ccrrc	[cllcc,ccllc,crrcc,ccrrc]
ctctt	[ctctt,ctctt,ctctt,ctctt]
ctttc	[ctttc,ctttc,ctttc,ctttc]
ctctc	[ctctc,ctctc,ctctc,ctctc]
crcrr	[clcll,clcrr,crcrr,crcll]
crrrc	[clllc,clllc,crrrc,crrrc]
cctcr	[ctccl,cctcr,ctccr,cctcl]
ccrct	[clcct,cclct,crcct,ccrct]
ccrcr	[clccr,cclcl,crccl,ccrcr]
cctcc	[cctcc,cctcc,cctcc,cctcc]
cctrr	[cctll,cctrr,cctrr,cctll]
crrcr	[cllcl,cllcr,crrcr,crrcl]
cctct	[ctcct,cctct,ctcct,cctct]
ccrcc	[cclcc,cclcc,ccrcc,ccrcc]
ccrrr	[cclll,ccrrr,ccrrr,cclll]
crrct	[cllct,cllct,crrct,crrct]
ccrcl	[clccl,cclcr,crccr,ccrcl]
