Length 6, number of unique variants is 79.
crcttr	[clcttl,clcttr,crcttr,crcttl]
crrctr	[cllctl,cllctr,crrctr,crrctl]
crrctt	[cllctt,cllctt,crrctt,crrctt]
crcttt	[clcttt,clcttt,crcttt,crcttt]
ccrrct	[cllcct,ccllct,crrcct,ccrrct]
ctrctt	[ctlctt,ctlctt,ctrctt,ctrctt]
ccrccr	[cclccl,cclccr,ccrccr,ccrccl]
ccrrcc	[ccllcc,ccllcc,ccrrcc,ccrrcc]
ccrrcl	[cllccl,ccllcr,crrccr,ccrrcl]
ccrrcr	[cllccr,ccllcl,crrccl,ccrrcr]
ctctcr	[ctctcl,ctctcr,ctctcr,ctctcl]
ccrctc	[ctclcc,cclctc,ctcrcc,ccrctc]
ctrrcr	[ctllcl,ctllcr,ctrrcr,ctrrcl]
ctctct	[ctctct,ctctct,ctctct,ctctct]
ctcrrr	[ctclll,ctcrrr,ctcrrr,ctclll]
ctrrct	[ctllct,ctllct,ctrrct,ctrrct]
ccttrc	[cttlcc,ccttlc,cttrcc,ccttrc]
ccrctr	[clcctr,cclctl,crcctl,ccrctr]
ccrctt	[clcctt,cclctt,crcctt,ccrctt]
ctcrrc	[cllctc,ctcllc,crrctc,ctcrrc]
crcrct	[clclct,clclct,crcrct,crcrct]
crcrcr	[clclcl,clclcr,crcrcr,crcrcl]
crrcrr	[cllcll,cllcrr,crrcrr,crrcll]
crctrr	[clctll,clctrr,crctrr,crctll]
ccttcc	[ccttcc,ccttcc,ccttcc,ccttcc]
ccttct	[cttcct,ccttct,cttcct,ccttct]
ctccrc	[ctcclc,clcctc,ctccrc,crcctc]
ccttcr	[cttccl,ccttcr,cttccr,ccttcl]
ctttcr	[ctttcl,ctttcr,ctttcr,ctttcl]
ctttct	[ctttct,ctttct,ctttct,ctttct]
ccrcct	[cclcct,cclcct,ccrcct,ccrcct]
ctcctc	[ctcctc,ctcctc,ctcctc,ctcctc]
cctttc	[ctttcc,cctttc,ctttcc,cctttc]
cttcrr	[cttcll,cttcrr,cttcrr,cttcll]
crcllc	[cllcrc,crcllc,crrclc,clcrrc]
cctctr	[ctcctl,cctctr,ctcctr,cctctl]
cttcrc	[cttclc,clcttc,cttcrc,crcttc]
ctrclc	[ctlcrc,crctlc,ctrclc,clctrc]
ctcrcl	[ctclcr,clctcl,ctcrcl,crctcr]
ccrclc	[clcrcc,ccrclc,crclcc,cclcrc]
ctcrct	[ctclct,clctct,ctcrct,crctct]
ctcrcr	[ctclcl,clctcr,ctcrcr,crctcl]
ctctrr	[ctctll,ctctrr,ctctrr,ctctll]
cctcrc	[clctcc,cctclc,crctcc,cctcrc]
ctctrc	[ctlctc,ctctlc,ctrctc,ctctrc]
cttctr	[cttctl,cttctr,cttctr,cttctl]
cctcrr	[ctccll,cctcrr,ctccrr,cctcll]
cctrrc	[ctllcc,cctllc,ctrrcc,cctrrc]
ccrcll	[clccll,cclcrr,crccrr,ccrcll]
cttctt	[cttctt,cttctt,cttctt,cttctt]
crcrrr	[clclll,clcrrr,crcrrr,crclll]
crrrcr	[clllcl,clllcr,crrrcr,crrrcl]
crclct	[clcrct,crclct,crclct,clcrct]
crclcr	[clcrcl,crclcr,crclcr,clcrcl]
crccrc	[clcclc,clcclc,crccrc,crccrc]
crcrrc	[cllclc,clcllc,crrcrc,crcrrc]
crrrct	[clllct,clllct,crrrct,crrrct]
cctcct	[cctcct,cctcct,cctcct,cctcct]
ctrcrr	[ctlcll,ctlcrr,ctrcrr,ctrcll]
cctccr	[cctccl,cctccr,cctccr,cctccl]
cctrcc	[cctlcc,cctlcc,cctrcc,cctrcc]
ccrctl	[clcctl,cclctr,crcctr,ccrctl]
cctrct	[ctlcct,cctlct,ctrcct,cctrct]
ctrcrc	[ctlclc,clctlc,ctrcrc,crctrc]
cctrcr	[ctlccr,cctlcl,ctrccl,cctrcr]
cctrcl	[ctlccl,cctlcr,ctrccr,cctrcl]
crclcl	[clcrcr,crclcl,crclcl,clcrcr]
cttrcr	[cttlcl,cttlcr,cttrcr,cttrcl]
ctcttt	[ctcttt,ctcttt,ctcttt,ctcttt]
cttrct	[cttlct,cttlct,cttrct,cttrct]
ccrcrc	[clclcc,cclclc,crcrcc,ccrcrc]
ctcttr	[ctcttl,ctcttr,ctcttr,ctcttl]
cctctc	[ctctcc,cctctc,ctctcc,cctctc]
cctctt	[ctcctt,cctctt,ctcctt,cctctt]
ccrcrr	[clccrr,cclcll,crccll,ccrcrr]
ccrrrc	[clllcc,cclllc,crrrcc,ccrrrc]
ctcttc	[cttctc,ctcttc,cttctc,ctcttc]
ctrctr	[ctlctl,ctlctr,ctrctr,ctrctl]
crcclc	[clccrc,crcclc,crcclc,clccrc]
