Length 7, number of unique variants is 201.
ctrctlc	[ctlctrc,ctrctlc,ctrctlc,ctlctrc]
ccttctt	[cttcctt,ccttctt,cttcctt,ccttctt]
ccttctc	[ctcttcc,ccttctc,ctcttcc,ccttctc]
ctcrcrr	[ctclcll,clctcrr,ctcrcrr,crctcll]
ccttctr	[cttcctl,ccttctr,cttcctr,ccttctl]
ctcrcrc	[ctclclc,clclctc,ctcrcrc,crcrctc]
ccrrcll	[cllccll,ccllcrr,crrccrr,ccrrcll]
ccrrclc	[clcrrcc,ccrrclc,crcllcc,ccllcrc]
ctrctrc	[ctlctlc,ctlctlc,ctrctrc,ctrctrc]
crcrrcr	[cllclcr,clcllcl,crrcrcl,crcrrcr]
crcrrct	[cllclct,clcllct,crrcrct,crcrrct]
ctcrcll	[ctclcrr,clctcll,ctcrcll,crctcrr]
crcrrcl	[cllclcl,clcllcr,crrcrcr,crcrrcl]
ccttccr	[ccttccl,ccttccr,ccttccr,ccttccl]
ccttcct	[ccttcct,ccttcct,ccttcct,ccttcct]
ctcrclc	[ctclcrc,crclctc,ctcrclc,clcrctc]
ctrctrr	[ctlctll,ctlctrr,ctrctrr,ctrctll]
cttcrcr	[cttclcl,clcttcr,cttcrcr,crcttcl]
cttcrct	[cttclct,clcttct,cttcrct,crcttct]
cttcrcl	[cttclcr,clcttcl,cttcrcl,crcttcr]
ccrclcr	[clcrccl,ccrclcr,crclccr,cclcrcl]
ccrclcl	[clcrccr,ccrclcl,crclccl,cclcrcr]
ccrclcc	[cclcrcc,ccrclcc,ccrclcc,cclcrcc]
ccrclct	[clcrcct,ccrclct,crclcct,cclcrct]
cctrcct	[cctlcct,cctlcct,cctrcct,cctrcct]
crcllcr	[cllcrcl,crcllcr,crrclcr,clcrrcl]
crcllct	[cllcrct,crcllct,crrclct,clcrrct]
crcllcl	[cllcrcr,crcllcl,crrclcl,clcrrcr]
cctrccr	[cctlccl,cctlccr,cctrccr,cctrccl]
ctrcttr	[ctlcttl,ctlcttr,ctrcttr,ctrcttl]
ctrcttt	[ctlcttt,ctlcttt,ctrcttt,ctrcttt]
ccrrctt	[cllcctt,ccllctt,crrcctt,ccrrctt]
ccrrctc	[ctcllcc,ccllctc,ctcrrcc,ccrrctc]
ccrrctl	[cllcctl,ccllctr,crrcctr,ccrrctl]
ccrrctr	[cllcctr,ccllctl,crrcctl,ccrrctr]
ccttcrc	[clcttcc,ccttclc,crcttcc,ccttcrc]
ccttcrr	[cttccll,ccttcrr,cttccrr,ccttcll]
crcrrrc	[clllclc,clclllc,crrrcrc,crcrrrc]
ctcrctt	[ctclctt,clctctt,ctcrctt,crctctt]
ctcrctr	[ctclctl,clctctr,ctcrctr,crctctl]
ctcrctl	[ctclctr,clctctl,ctcrctl,crctctr]
ctrcrrr	[ctlclll,ctlcrrr,ctrcrrr,ctrclll]
ctcrctc	[ctclctc,ctclctc,ctcrctc,ctcrctc]
ctrcrrc	[ctlcllc,cllctlc,ctrcrrc,crrctrc]
ccrrcrr	[cllccrr,ccllcll,crrccll,ccrrcrr]
ccrrcrc	[clcllcc,ccllclc,crcrrcc,ccrrcrc]
ctccrcl	[ctcclcr,clcctcl,ctccrcl,crcctcr]
ctccrcr	[ctcclcl,clcctcr,ctccrcr,crcctcl]
ctccrct	[ctcclct,clcctct,ctccrct,crcctct]
crctcrc	[clctclc,clctclc,crctcrc,crctcrc]
cctctrc	[ctlctcc,cctctlc,ctrctcc,cctctrc]
cctctrr	[ctcctll,cctctrr,ctcctrr,cctctll]
crrcrrr	[cllclll,cllcrrr,crrcrrr,crrclll]
crrcrrc	[cllcllc,cllcllc,crrcrrc,crrcrrc]
crctclc	[clctcrc,crctclc,crctclc,clctcrc]
crclllc	[clllcrc,crclllc,crrrclc,clcrrrc]
ccttrcl	[cttlccl,ccttlcr,cttrccr,ccttrcl]
cctcttc	[cttctcc,cctcttc,cttctcc,cctcttc]
ccttrcc	[ccttlcc,ccttlcc,ccttrcc,ccttrcc]
cctcttt	[ctccttt,cctcttt,ctccttt,cctcttt]
cctcttr	[ctccttl,cctcttr,ctccttr,cctcttl]
ccttrcr	[cttlccr,ccttlcl,cttrccl,ccttrcr]
ccttrct	[cttlcct,ccttlct,cttrcct,ccttrct]
