Length 8, number of unique variants is 518.
ctctcttt	[ctctcttt,ctctcttt,ctctcttt,ctctcttt]
ctrclcll	[ctlcrcrr,crctlcll,ctrclcll,clctrcrr]
ctctcttc	[cttctctc,ctctcttc,cttctctc,ctctcttc]
ctcttrcr	[cttlctcr,ctcttlcl,cttrctcl,ctcttrcr]
crccrcrc	[clclcclc,clcclclc,crcrccrc,crccrcrc]
ctctcttr	[ctctcttl,ctctcttr,ctctcttr,ctctcttl]
ctcttrct	[cttlctct,ctcttlct,cttrctct,ctcttrct]
ctcttrcl	[cttlctcl,ctcttlcr,cttrctcr,ctcttrcl]
ctrclclc	[ctlcrcrc,crcrctlc,ctrclclc,clclctrc]
ccrccttc	[cttcclcc,cclccttc,cttccrcc,ccrccttc]
ccrccttt	[cclccttt,cclccttt,ccrccttt,ccrccttt]
ccrrrcrr	[clllccrr,cclllcll,crrrccll,ccrrrcrr]
ccrrrcrc	[clclllcc,cclllclc,crcrrrcc,ccrrrcrc]
ctcrcclc	[ctclccrc,crcclctc,ctcrcclc,clccrctc]
ccrrrctl	[clllcctl,cclllctr,crrrcctr,ccrrrctl]
ccrcctcl	[ctcclccl,cclcctcr,ctccrccr,ccrcctcl]
ccrcctct	[ctcclcct,cclcctct,ctccrcct,ccrcctct]
ccrccrrr	[cclcclll,cclccrrr,ccrccrrr,ccrcclll]
cttcrrrc	[clllcttc,cttclllc,crrrcttc,cttcrrrc]
ccrcctcr	[ctcclccr,cclcctcl,ctccrccl,ccrcctcr]
cctrctcl	[ctctlccl,cctlctcr,ctctrccr,cctrctcl]
cctrctcr	[ctctlccr,cctlctcl,ctctrccl,cctrctcr]
crccrctt	[clcclctt,clcclctt,crccrctt,crccrctt]
crccrctr	[clcclctl,clcclctr,crccrctr,crccrctl]
cctrcrrc	[cllctlcc,cctlcllc,crrctrcc,cctrcrrc]
cctrctct	[ctctlcct,cctlctct,ctctrcct,cctrctct]
cctrcrrr	[ctlccrrr,cctlclll,ctrcclll,cctrcrrr]
ctrclcrr	[ctlcrcll,crctlcrr,ctrclcrr,clctrcll]
ctctcrrc	[cllctctc,ctctcllc,crrctctc,ctctcrrc]
ctctctcr	[ctctctcl,ctctctcr,ctctctcr,ctctctcl]
ctrclcrc	[ctlcrclc,clcrctlc,ctrclcrc,crclctrc]
ctctctct	[ctctctct,ctctctct,ctctctct,ctctctct]
ctctcrrr	[ctctclll,ctctcrrr,ctctcrrr,ctctclll]
ccrcctrr	[cclcctll,cclcctrr,ccrcctrr,ccrcctll]
ccrctllc	[ctllcrcc,ccrctllc,ctrrclcc,cclctrrc]
ccrcctrc	[ctlcclcc,cclcctlc,ctrccrcc,ccrcctrc]
ccrrrctr	[clllcctr,cclllctl,crrrcctl,ccrrrctr]
ccrrrctt	[clllcctt,cclllctt,crrrcctt,ccrrrctt]
ccrrrctc	[ctclllcc,cclllctc,ctcrrrcc,ccrrrctc]
ctcrccrc	[ctclcclc,clcclctc,ctcrccrc,crccrctc]
ccrrrccr	[cclllccl,cclllccr,ccrrrccr,ccrrrccl]
ctcrrrct	[clllctct,ctclllct,crrrctct,ctcrrrct]
ccrctrcl	[ctlclccl,cclctlcr,ctrcrccr,ccrctrcl]
ctcrrrcr	[clllctcr,ctclllcl,crrrctcl,ctcrrrcr]
cttctcrc	[cttctclc,clctcttc,cttctcrc,crctcttc]
ccrccttr	[cclccttl,cclccttr,ccrccttr,ccrccttl]
ccrctrcr	[ctlclccr,cclctlcl,ctrcrccl,ccrctrcr]
ctcrrrcl	[clllctcl,ctclllcr,crrrctcr,ctcrrrcl]
ccrctrct	[ctlclcct,cclctlct,ctrcrcct,ccrctrct]
cctrclll	[ctlcclll,cctlcrrr,ctrccrrr,cctrclll]
cctrcllc	[cllctrcc,cctrcllc,crrctlcc,cctlcrrc]
crrrctrr	[clllctll,clllctrr,crrrctrr,crrrctll]
ctrclctl	[ctlcrctr,crctlctl,ctrclctl,clctrctr]
ctctttct	[ctttctct,ctctttct,ctttctct,ctctttct]
ctrclctt	[ctlcrctt,crctlctt,ctrclctt,clctrctt]
ctrclctr	[ctlcrctl,crctlctr,ctrclctr,clctrctl]
ctctttcr	[ctttctcl,ctctttcr,ctttctcr,ctctttcl]
crcclllc	[clllccrc,crcclllc,crrrcclc,clccrrrc]
crcctclc	[clctccrc,crcctclc,crctcclc,clcctcrc]
ccrcttct	[cttclcct,cclcttct,cttcrcct,ccrcttct]
cttcttct	[cttcttct,cttcttct,cttcttct,cttcttct]
ccrcctlc	[ctlccrcc,ccrcctlc,ctrcclcc,cclcctrc]
ccrctrrc	[ctllclcc,cclctllc,ctrrcrcc,ccrctrrc]
cttcttcr	[cttcttcl,cttcttcr,cttcttcr,cttcttcl]
cttctttc	[ctttcttc,cttctttc,ctttcttc,cttctttc]
cctrcrcr	[clctlccr,cctlclcl,crctrccl,cctrcrcr]
cctrcrct	[clctlcct,cctlclct,crctrcct,cctrcrct]
cctrcrcl	[clctlccl,cctlclcr,crctrccr,cctrcrcl]
crrrcttr	[clllcttl,clllcttr,crrrcttr,crrrcttl]
crrrcttt	[clllcttt,clllcttt,crrrcttt,crrrcttt]
cctrcrcc	[cctlclcc,cclctlcc,cctrcrcc,ccrctrcc]
ctctctrc	[ctlctctc,ctctctlc,ctrctctc,ctctctrc]
ctrcrcll	[ctlclcrr,clctlcll,ctrcrcll,crctrcrr]
ctctctrr	[ctctctll,ctctctrr,ctctctrr,ctctctll]
crcctcrc	[clctcclc,clcctclc,crctccrc,crcctcrc]
ctrcrclc	[ctlclcrc,crclctlc,ctrcrclc,clcrctrc]
ccrcrrct	[cllclcct,cclcllct,crrcrcct,ccrcrrct]
ccrrrclc	[clcrrrcc,ccrrrclc,crclllcc,cclllcrc]
ccrcrrcc	[ccllclcc,cclcllcc,ccrrcrcc,ccrcrrcc]
cttcrrct	[cllcttct,cttcllct,crrcttct,cttcrrct]
ccrctttc	[ctttclcc,cclctttc,ctttcrcc,ccrctttc]
cttcrrcr	[cllcttcr,cttcllcl,crrcttcl,cttcrrcr]
cttcrrcl	[cllcttcl,cttcllcr,crrcttcr,cttcrrcl]
ccrrrcll	[clllccll,cclllcrr,crrrccrr,ccrrrcll]
ccrcttcl	[cttclccl,cclcttcr,cttcrccr,ccrcttcl]
cttcttrc	[cttlcttc,cttcttlc,cttrcttc,cttcttrc]
ccrcttcr	[cttclccr,cclcttcl,cttcrccl,ccrcttcr]
crccrrrc	[clllcclc,clcclllc,crrrccrc,crccrrrc]
crrrcrrr	[clllclll,clllcrrr,crrrcrrr,crrrclll]
crrccllc	[cllccrrc,crrccllc,crrccllc,cllccrrc]
cttccttc	[cttccttc,cttccttc,cttccttc,cttccttc]
cttctrct	[ctlcttct,cttctlct,ctrcttct,cttctrct]
cttctrcr	[ctlcttcr,cttctlcl,ctrcttcl,cttctrcr]
cttctrcl	[ctlcttcl,cttctlcr,ctrcttcr,cttctrcl]
ctcrrcrc	[ctcllclc,clcllctc,ctcrrcrc,crcrrctc]
ctcrrctc	[ctcllctc,ctcllctc,ctcrrctc,ctcrrctc]
ctcrrctt	[cllctctt,ctcllctt,crrctctt,ctcrrctt]
ccrcclcl	[clccrccr,ccrcclcl,crcclccl,cclccrcr]
ctcrrctr	[cllctctr,ctcllctl,crrctctl,ctcrrctr]
ctcrrctl	[cllctctl,ctcllctr,crrctctr,ctcrrctl]
ccrcclct	[clccrcct,ccrcclct,crcclcct,cclccrct]
ccrcclcr	[clccrccl,ccrcclcr,crcclccr,cclccrcl]
